ts,strategy_name,side,qty,price,fee,fee_bps,funding,slippage_bps,pnl_realized,pnl_unrealized,reason_code,maker_flag,order_state,regime_label,symbol,leverage,margin_used,position_size,account_balance,latency_ms,retry_count,error_code,var_95,max_drawdown,sharpe_ratio,volatility,volume_24h,spread_bps
1640995200.0,FUNDING_ARBITRAGE,buy,1000.0,0.5049918959295899,0.25249594796479496,5.0,0.050499189592958994,4.687847948971356,0.0,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,1000.0,9494.755608122445,47.498425353740394,0,,0.0,0.0,0.0,0.02,1000000,2.0
1641081600.0,BUY,buy,1000.0,0.46074929622482313,0.23037464811241157,5.0,0.0,2.8370338483031023,0.0,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,2000.0,9033.77593724951,28.57442181594779,0,,0.0,0.0,0.0,0.02,1000000,2.0
1641168000.0,FUNDING_ARBITRAGE,buy,1000.0,0.4133914629753482,0.2066957314876741,5.0,0.04133914629753482,1.7229817322295449,0.0,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,3000.0,8620.177778542673,86.32272308603068,0,,0.0,0.0,0.0,0.02,1000000,2.0
1641254400.0,SCALP,sell,1000.0,0.42978419176919497,0.2148920958845975,5.0,0.0,4.776791890523549,-70.63599929088149,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,2000.0,9049.747078215983,79.48304808237916,0,,0.0,0.0,0.0,0.02,1000000,2.0
1641340800.0,BUY,sell,1000.0,0.4059716914690293,0.20298584573451464,5.0,0.0,1.877045508861273,-94.30749711072488,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,1000.0,9455.515783839279,99.44953251194086,0,,0.0,0.0,0.0,0.02,1000000,2.0
1641427200.0,SCALP,sell,500.0,0.420070689407666,0.1050176723519165,5.0,0.0,1.796273642289075,-40.107401063882975,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,500.0,9665.44611087076,44.73261798364205,0,,0.0,0.0,0.0,0.02,1000000,2.0
1641513600.0,BUY,buy,1000.0,0.39812286402722435,0.19906143201361218,5.0,0.0,4.1526119144583475,0.0,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,1500.0,9267.124185411521,83.91523484105113,0,,0.0,0.0,0.0,0.02,1000000,2.0
1641600000.0,FUNDING_ARBITRAGE,sell,750.0,0.4362786894725575,0.16360450855220907,5.0,0.0,1.5636628390500267,-48.005751862198935,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,750.0,9594.169598007387,52.90442150314219,0,,0.0,0.0,0.0,0.02,1000000,2.0
1641686400.0,SCALP,sell,375.0,0.44655694357576897,0.08372942692045669,5.0,0.0,4.768840679422259,-20.204734045439682,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,375.0,9761.54472242138,79.93520073306192,0,,0.0,0.0,0.0,0.02,1000000,2.0
1641772800.0,FUNDING_ARBITRAGE,buy,1000.0,0.5097443572015856,0.2548721786007928,5.0,0.05097443572015856,3.0269578438655125,0.0,0.0,strategy_signal,True,filled,normal,XRP,1.0,0.0,1375.0,9251.545493041194,73.37201742670925,0,,0.0,0.0,0.0,0.02,1000000,2.0
