trade_id,timestamp,symbol,side,quantity,price,directional_pnl,funding_pnl,fee_pnl,rebate_pnl,slippage_pnl,impact_pnl,total_pnl,top_feature_1,top_feature_1_contrib,top_feature_2,top_feature_2_contrib,top_feature_3,top_feature_3_contrib,primary_signal,signal_strength,signal_confidence,execution_quality,timing_quality,routing_quality
trade_000,2025-09-16 21:44:04.351514,XRP,buy,736.9460324656833,0.5193226724835058,-0.15371343771360088,0.0005724657443003661,-0.3827127830561951,0.19135639152809755,-0.07135837534334101,-0.038271278305619515,-0.4541270171463585,volume_ma_20min,-0.17656910669038106,volatility,-0.10529058707626018,market_depth,0.07636969838619953,momentum,0.4538827173324332,0.8213344612780198,0.0,-3.6879093660081335,0.8
trade_001,2025-09-16 21:44:04.351514,XRP,sell,898.5910794005707,0.5208924272920491,-0.780119973284979,-0.0005439002766353015,-0.46806928849194573,0.23403464424597287,-0.05338192188093883,-0.04680692884919457,-1.1148873685377205,price_momentum_5min,0.21071293271114633,bid_ask_spread,-0.19093197993515643,volatility,0.07995740622900593,funding_arb,0.5556042519828128,0.9360902316710349,0.729813561328144,-3.78046165962407,0.8
trade_002,2025-09-16 21:44:04.352521,XRP,buy,545.3003595561447,0.5204589914974217,0.12386434722248056,0.0006606336003602098,-0.2838064751977725,0.0,-0.06566311682693053,-0.02838064751977725,-0.2533252587216395,market_depth,0.08162039829804907,price_momentum_5min,-0.07246829026453708,volatility,0.0359801160102117,funding_arb,0.32606470396388076,0.8238496846003899,0.17193466906744703,-3.7746391231385887,0.6
trade_003,2025-09-16 21:44:04.352521,XRP,sell,788.223048459902,0.520085221277384,-0.6960095479014858,-0.00020780683138793636,-0.4099431585742023,0.20497157928710116,-0.12239300822490269,-0.040994315857420235,-1.064576258102298,market_depth,0.23742427437148705,volatility,-0.19032727174259098,funding_rate,-0.09126154059645392,funding_arb,0.4647743334726952,0.7862983897338698,0.0,-3.6426789799797046,0.8
trade_004,2025-09-16 21:44:04.352521,XRP,buy,833.2130315657447,0.5199864396827867,-0.015332221804926594,0.0005067600557587062,-0.43325947778117296,0.21662973889058648,-0.020251809477195935,-0.043325947778117296,-0.29503295789506756,volume_ma_20min,0.16309738820113398,bid_ask_spread,-0.15050522926149557,volatility,-0.09926697625002467,funding_arb,0.33243433794714716,0.7368287979256013,0.37502448814148837,-3.6821367412609867,0.8
trade_005,2025-09-16 21:44:04.352521,XRP,sell,673.3139794467021,0.5195261866213878,-0.013686369699280138,-0.0002557334125592879,-0.3498042441408167,0.0,-0.03721610186704818,-0.03498042441408167,-0.4359428735337859,volatility,-0.3430981852103022,market_depth,-0.10873230593034021,price_momentum_5min,0.08371176942716646,funding_arb,0.8258472216154351,0.8512911160305964,0.0,-3.789022243124913,0.6
trade_006,2025-09-16 21:44:04.352521,XRP,buy,843.0389191297758,0.5209291228246256,1.2199256277305957,-0.0005464598781894021,-0.43916352464929453,0.21958176232464727,-0.11917738003470833,-0.043916352464929455,0.8367036730281212,market_depth,0.07051304602582899,bid_ask_spread,-0.07038911466605821,price_momentum_5min,0.05766689218410845,momentum,0.47226870145574557,0.666726213427915,0.471082435084884,-3.897134708460924,0.8
trade_007,2025-09-16 21:44:04.352521,XRP,sell,317.09427022724566,0.5188928827001855,0.2538093307502544,0.0004010959594561431,-0.16453795996592713,0.08226897998296356,-0.006438881515877399,-0.01645379599659271,0.14904876921427687,funding_rate,0.18187371480898662,price_momentum_5min,0.180133910126568,market_depth,-0.07336593166321657,momentum,0.7339555359917977,0.8012458180912372,0.6880992600605217,-3.628702336552088,0.8
trade_008,2025-09-16 21:44:04.352521,XRP,buy,733.6732690337936,0.5205676517795271,1.3115320568139848,0.00016761641399309367,-0.3819265708343312,0.0,-0.0006444698873167073,-0.03819265708343312,0.8909359754228968,market_depth,-0.14473567726440917,funding_rate,-0.10163065638886236,bid_ask_spread,0.08921943089733295,mean_reversion,0.8176963797420627,0.942233253156006,0.0,-3.883846184465865,0.6
trade_009,2025-09-16 21:44:04.352521,XRP,sell,649.0760838203042,0.5205719388970194,-0.4883587537409841,-0.00028290446498996407,-0.33789079544602,0.0,-0.13840685707342662,-0.033789079544602,-0.9987283902700226,funding_rate,0.17259382157182845,price_momentum_5min,-0.09475736146337392,market_depth,0.0662601216298639,mean_reversion,0.4262092590130987,0.6063707756078052,0.2336785288239952,-3.794574366684105,0.6
