ts,strategy_name,side,qty,price,fee,fee_bps,funding,slippage_bps,pnl_realized,pnl_unrealized,reason_code,maker_flag,order_state,regime_label,cloid
1754389176.137005,FUNDING_ARBITRAGE,sell,192.60714596148742,0.5064768853810069,0.04877553369434956,5.0,0.009755106738869913,1.624074561769746,0.0,0.0,strategy_signal,False,filled,normal,FUNDING_ARBITRAGE_0
1754392776.137005,FUNDING_ARBITRAGE,buy,179.92642186624028,0.5152302985640802,0.046351772028854814,5.0,0.009270354405770962,3.404460046972835,0.0,0.0,strategy_signal,True,filled,normal,FUNDING_ARBITRAGE_1
1754396376.138033,SCALP,buy,195.48647782429916,0.49530525614065046,0.04841273998539904,5.0,0.0,1.7272998688284025,0.0,0.0,strategy_signal,False,filled,normal,SCALP_2
1754399976.138033,SCALP,sell,51.05994578295761,0.5054256004358596,0.012903501877786895,5.0,0.0,1.092249700165663,0.2613085930057778,0.0,strategy_signal,True,filled,normal,SCALP_3
1754403576.138033,FUNDING_ARBITRAGE,sell,56.999849482042315,0.5022207890156475,0.014313254690322219,5.0,0.002862650938064444,2.529847965068651,0.10502931328259348,0.0,strategy_signal,True,filled,normal,FUNDING_ARBITRAGE_4
1754407176.138033,BUY,buy,178.99106101044808,0.4923202349805692,0.0440604606080426,5.0,0.0,3.721230154351119,0.0,0.0,strategy_signal,True,filled,normal,BUY_5
1754410776.138033,SCALP,sell,191.3302633527279,0.47973280384269906,0.04589370184908309,5.0,0.0,1.0638650088808568,-3.9333866207519157,0.0,strategy_signal,False,filled,normal,SCALP_6
1754414376.138033,FUNDING_ARBITRAGE,sell,68.30573522671682,0.5111942361156184,0.0174587490707686,5.0,0.0034917498141537194,2.9807076404450807,0.7367638937584408,0.0,strategy_signal,False,filled,normal,FUNDING_ARBITRAGE_7
1754417976.138033,SCALP,buy,88.81699724000254,0.4873488088607736,0.021642428905752926,5.0,0.0,3.0802720847112433,0.0,0.0,strategy_signal,True,filled,normal,SCALP_8
1754421576.138033,SCALP,buy,195.4376941646838,0.5109199226435767,0.04992650579212962,5.0,0.0,4.100531293444458,0.0,0.0,strategy_signal,True,filled,normal,SCALP_9
1754425176.138033,SCALP,sell,139.68499682166276,0.48990914657134893,0.0342164787908612,5.0,0.0,2.0853961270955836,-1.4580282903705195,0.0,strategy_signal,True,filled,normal,SCALP_10
1754428776.138033,SCALP,buy,92.14017645310712,0.4841670578646311,0.022305619072214417,5.0,0.0,3.170784332632994,0.0,0.0,strategy_signal,False,filled,normal,SCALP_11
1754432376.138033,FUNDING_ARBITRAGE,buy,61.182596551965624,0.5058212279471304,0.015473728058454558,5.0,0.0030947456116909118,3.9160286721639492,0.0,0.0,strategy_signal,True,filled,normal,FUNDING_ARBITRAGE_12
1754435976.138033,BUY,sell,103.76985928164089,0.5088774845959336,0.026403072484057707,5.0,0.0,1.4634762381005189,0.8870842009722529,0.0,strategy_signal,True,filled,normal,BUY_13
1754439576.138033,SCALP,buy,59.53375254290354,0.4889366502599397,0.014554116772865713,5.0,0.0,3.9184247133522563,0.0,0.0,strategy_signal,True,filled,normal,SCALP_14
1754443176.138033,FUNDING_ARBITRAGE,buy,120.83223877429239,0.4880379337591933,0.02948535807145157,5.0,0.005897071614290314,1.4783769837532068,0.0,0.0,strategy_signal,True,filled,normal,FUNDING_ARBITRAGE_15
1754446776.138033,BUY,buy,134.19157963542443,0.49964173960890046,0.033523857144954886,5.0,0.0,3.0909313175279762,0.0,0.0,strategy_signal,True,filled,normal,BUY_16
